zcta,Percentage Eligible,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability
72635,43.76,866,704,55.16,-15.79,0.0,0.0,,-21.03,-8.33,-33.33,-29.83,-21.11
72636,46.15,7,6,53.85,,,,,-14.29,-100.0,0.0,-33.33,0.0
72638,43.76,1692,1376,55.15,-17.33,0.0,0.0,,-21.05,-8.47,-32.91,-29.66,-20.95
72639,43.62,134,109,55.14,-16.67,0.0,0.0,,-21.21,0.0,-36.84,-30.16,-22.03
72640,43.9,91,74,55.15,-25.0,0.0,0.0,,-21.35,0.0,-38.46,-30.23,-22.5
72641,43.75,468,380,55.19,-19.05,0.0,0.0,,-20.92,-9.09,-33.85,-29.86,-21.08
72642,43.73,453,368,55.18,-15.0,0.0,0.0,,-21.12,-9.38,-33.33,-29.91,-21.21
72644,43.76,557,454,55.09,-20.0,0.0,0.0,,-21.17,-10.26,-33.77,-29.92,-20.58
72645,45.01,393,309,55.98,-11.76,0.0,0.0,,-20.21,-7.69,-28.3,-27.96,-18.97
72648,43.81,116,94,55.24,-20.0,0.0,0.0,,-21.05,-12.5,-31.25,-30.91,-21.57
72650,44.0,972,785,55.32,-18.6,0.0,0.0,,-20.86,-7.46,-32.09,-29.48,-20.47
72651,43.8,294,239,55.16,-15.38,0.0,0.0,,-20.83,-5.0,-34.15,-30.22,-21.09
72653,43.76,6694,5443,55.15,-17.57,0.0,0.0,,-21.03,-8.14,-32.94,-29.72,-20.98
72655,43.65,109,88,55.33,-20.0,0.0,0.0,,-21.5,-12.5,-33.33,-29.41,-20.83
72658,43.72,373,304,55.1,-17.65,0.0,0.0,,-20.98,-7.69,-32.69,-29.55,-20.86
72660,43.63,112,91,55.17,-20.0,0.0,0.0,,-20.91,-12.5,-37.5,-30.19,-20.41
72661,43.88,130,106,55.08,-16.67,0.0,0.0,,-21.09,-11.11,-33.33,-30.65,-21.05
72662,43.76,703,572,55.14,-16.13,0.0,0.0,,-21.13,-8.16,-32.99,-29.82,-20.85
72663,50.78,77,51,60.16,0.0,,0.0,,-14.67,-20.0,-11.11,-19.44,-11.11
